fast_id,status,region_code,region_name,unit_code,unit_name,unit_type,mapped_place,latitude,longitude,recipient,title,assistance_listing,program,doi_decision_date,project_abstract,project_impact,review_notes,fed_funding_this_action
1996,Disapproved,PWR,Pacific West,GOGA,Golden Gate National Recreation Area,park unit,Golden Gate National Recreation Area,37.9468,-122.6876,San Francisco Zoological Society,Partnership to Support Conservation and Headstart Actions for the Endangered San Francisco Gartersnake,15.944 Natural Resource Stewardship,Natural resource stewardship,2026-08-07,"The cooperative agreement would facilitate a headstart project for the endangered San Francisco gartersnake between the San Francisco Zoo and Golden Gate National Recreation Area in an effort to prevent extinction. Female snakes would be obtained from donor site, the juvenile snakes reared at the Zoo and then released at recipient and donor sites. The action is intended to increase population size and genetic diversity. This agreement will additionally support monitoring and restoration actions (limited) at the recipient site.","The snake population at Mori Point is about to go extinct (population estmated 6, 2024) and in the absence of this award, the headstart project will not occur and the Mori Point population is likely to go extinct in a few years.","05/13/2026: Abstract updated. Ready for DOI review. 05/19/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1996 titled 'Partnership to Support Conservation and Headstart Actions for the Endangered San Francisco Gartersnake,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",72130.00
2008,Disapproved,PWR,Pacific West,GOGA,Golden Gate National Recreation Area,park unit,Golden Gate National Recreation Area,37.9468,-122.6876,GOLDEN GATE NATIONAL PARKS CONSERVANCY,Employ Local High School Youth with the Golden Gate Park Internship Experience,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"The Golden Gate Park Internship Experience (GOGA PIE) provides paid, conservation-focused internships for 22 local high school students and young adults at sites throughout the Golden Gate National Recreation Area. Through hands-on fieldwork, visitor engagement roles, and weekly professional development, interns gain practical skills, mentorship, and pathways toward future careers in conservation, public service, and related fields. This project expands access to meaningful workforce and learning opportunities while strengthening gateway community connections to national parks.","Without this funding, 22 local youth would lose access to paid workforce opportunities that build career skills, support economic stability, and foster strong gateway community connections to national parks.","05/07/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2008 titled 'Employ Local High School Youth with the Golden Gate Park Internship Experience,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",55890.00
2883,Disapproved,PWR,Pacific West,GOGA,Golden Gate National Recreation Area,park unit,Golden Gate National Recreation Area,37.9468,-122.6876,Golden Gate National Parks Conservancy,Plant Propagation and Restoration in Golden Gate National Recreation Area,15.944 Natural Resource Stewardship,Natural resource stewardship,2026-08-07,"This project will support a collaboration between the Golden Gate National Parks Conservancy (GGNPC) and Golden Gate National Recreation Area (GGNRA) to utilize the established skills and infrastructure of the GGNPC nursery program to provide native plants for ongoing and planned restoration activities throughout GGNRA lands, allow for continued volunteer engagement with the GGNPC nursery program, and implement plant community restoration activities in disturbed or degraded habitats throughout GGNPC.","Significant loss of landscape-level stewardship progress toward lower-maintenance, fire-resilient, healthy landscapes throughout the Park. Loss of already-invested monies due to reversion of Park lands to degraded conditions. Degradation of landscape value from unmanaged and unenhanced vegetation communities.","7/15/2026: NPS review complete. Ready for DOI review. 7/15/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2883 titled 'Plant Propagation and Restoration in Golden Gate National Recreation Area,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",120530.46
1981,Disapproved,IMR,Intermountain,GRSA,Great Sand Dunes National Park and Preserve,park unit,Great Sand Dunes National Park and Preserve,37.7669,-105.613,THE GREAT BASIN INSTITUTE,Two Interpretation Youth Interns at Great Sand Dunes National Park and Preserve,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,This project will enable the park to provide experience for one youth intern for one-year terms and maintain a higher level of interpretive programming and roving patrols for preventative search and rescue while contacting visitors in busy areas. The intern would maintain capacity for seven day per week visitor center operations and ensure regular interpretive program offerings during the busier months of the year.,"Without funding, Great Sand Dunes National Park and Preserve would have increased difficulty in providing visitor services as mandated by SO 3426 (open and accessible). The park would also not be able to provide interpretive programing and an increase in medical incidents with a lack of roving and informal interpretation.","05/07/2026: Submitted for DOI review. 6/2/2026: Updates to project Funding, title, and abstract per FAAO. FAST 2733 duplicate entry. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1981 titled 'Interpretation Youth Intern at Great Sand Dunes National Park and Preserve,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",71007.38
2242,Disapproved,PWR,Pacific West,HALE,Haleakala National Park,park unit,Haleakala National Park,20.6994,-156.1326,"THE STUDENT CONSERVATION ASSOCIATION, INC.",Integrated Resources Management Internships,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project offers internships at Haleakala National Park for college students and recent graduates, focusing on natural resources projects, invasive species removal, botany, wildlife, and cultural resources. Interns will engage in hands-on resource management tasks, including invasive plant control, endangered species monitoring, and archeological surveys. Participants will gain valuable experience while contributing to conservation efforts, benefiting both their careers and the preservation of Hawaii's unique natural resources while reducing wildfire risk.","Without funding, fire threat to the park and natural resources will increase and hinder vital resource management efforts at the park.","5/26/2026: NPS review complete. Ready for DOI review. 05/27/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2242 titled 'Integrated Resources Management Internships,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",116475.64
1252,Disapproved,PWR,Pacific West,HAVO,Hawai'i Volcanoes National Park,park unit,Hawai'i Volcanoes National Park,19.3031,-155.2395,Great Basin Institute,Technical Assistance to Create Public Access to Hawaii Volcanoes National Park Archives and Museum Collections and support Native American Graves Repatriation Act compliance,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"This project will provide technical expertise to help Hawai‘i Volcanoes National Park improve the processing and care of its archival materials, federal records, and museum collections. Work includes organizing records, supporting research requests, digitizing materials, assisting with preservation tasks, and ensuring public access to archives. The project also supports compliance with laws related to recordkeeping and repatriation and the Native American Graves Repatriation Act. These efforts help park managers make informed decisions that protect resources, maintain safe visitor access, and support community needs.","Without funding, essential records and collections may remain unprocessed or inaccessible, limiting informed decision-making, public research access, and compliance with preservation and repatriation requirements and the Native American Graves Repatriation Act.","03/19/26: Corrected park name in title and abstract. 03/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1252 titled 'Technical Assistance to Create Public Access to Hawaii Volcanoes National Park Archives and Museum Collections and support Native American Graves Repatriation Act compliance,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",97457.03
2458,Disapproved,WASO,National (WASO),HPTC,Historic Preservation Training Center,"office, program, or network","Frederick, Maryland",39.3663,-77.3882,Great Basin Institute,Facilities Management Interns at Historic Preservation Training Center,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project will support a cohort of young adults participating in the Build Up Technical Internship Program, a partnership between the Historic Preservation Training Center, Great Basin Institute, and the National Park Service Youth Programs Division. Interns will be placed at National Park Service offices to support facilities management and related technical projects. Through mentorship from National Park Service staff, participants will gain hands-on experience in project planning, program administration, facility planning, architecture, engineering, geographic information systems, reporting, and communications. Their contributions will help advance major projects that improve the maintenance and preservation of public lands and enhance the visitor experience nationwide.","If this project is not awarded, then critical facility maintenance projects across multiple parks will not occur.","06/23/2026: NPS review complete. Ready for DOI review. 06/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2458 titled 'Facilities Management Interns at Historic Preservation Training Center,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",500000.00
2657,Disapproved,IMR,Intermountain,IMRO,Intermountain Regional Office,"office, program, or network","Lakewood, Colorado",39.7008,-105.1426,Great Basin Institute,Create Developmental Opportunities for Emerging Professionals in Historic Preservation Disciplines: Cultural Landscapes,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"The Intermountain (IMRO) Historic Preservation Services (HPS) Program proposes to initiate a partnership with the Great Basin Institute (GBI) to develop opportunities for emerging professionals interested in enhancing their knowledge and experience in historic preservation theory and practice. The current agreement will allow for a single placement in the discipline of Cultural Landscapes. The individual selected will engage in projects ranging from the evaluation and assessment of historic properties, the development of CLI records for the national inventory, review of and engagement in the production of CLIs and CLRs, data analysis and development of treatment recommendations aimed at reducing deferred maintenance and ensuring safe and regular public access to some of the region's most significant and visible assets. The technical HPS team will provide mentorship and training, as well as general support for the CL specialist as they develop skills and knowledge in historic preservation.","If this project isn't awarded, tasks to be assigned to the individual placement will not be completed. This will leave several parks without knowledge necessary for decision-making aimed at maintaining highly visible resources. This work is critical to ensuring safe and regular access to the public and reducing deferred maintenance.","6/11/2026: Update needed: Abstract should describe project related detail, specific tasks and outcomes. Project abstract resembles NPS hiring, not outcomes from recipient and public purpose/substantial involvement. 6/22/2026: FAAO/ATR updated abstract with additional project outcomes. NPS review complete. Ready for DOI review. 06/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2657 titled 'Create Developmental Opportunities for Emerging Professionals in Historic Preservation Disciplines: Cultural Landscapes,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",120715.55
974,Disapproved,PWR,Pacific West,JODA,John Day Fossil Beds National Monument,park unit,John Day Fossil Beds National Monument,44.5383,-119.6483,The Great Basin Institute,John Day Fossil Beds Administrative History Research Associate,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"This agreement will provide a Research Associate position to update the Administrative History for John Day Fossil Beds National Monument. This updated administrative history will document how the park has been managed over time, drawing on archives, photos, graphics, and interviews with staff and partners. The updated history will support informed decision making, preserve institutional knowledge, and provide for and engage with the public.","If not awarded, the park could risk doing actions over again and could continue to be slow in preparing for future actions due to loss of institutional knowledge impacting the park, administrative capacity, and visitor experience.","6/16/2026: Project abstract needs work. Review for overall consistency, information, and quality. 6/24/2026: Revised project abstract and impact. NPS review complete. Ready for DOI review. 07/01/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 974 titled 'John Day Fossil Beds Administrative History Research Associate ,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",29425.46
1721,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,THE GREAT BASIN INSTITUTE,Geographic Information System Technicians at Joshua Tree National Park,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project will enhance Geographic Information System (GIS) support at Joshua Tree National Park, focusing on cultural, natural resource, and endangered species management. Great Basin Institute technicians' tasks will include creating project documents for compliance, managing GIS data for fire response, providing staff training, and developing new databases. These efforts will help ensure the effective preservation of park resources, improve trail management, and enhance emergency response capabilities, benefiting park staff and the visiting public through improved resource management processes.","Without funding, the impact would have an effect on operations for fees, park planning, and resource management, including fire and law enforcement emergency response capabilities.","05/07/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1721 titled 'Geographic Information System Technicians at Joshua Tree National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",42995.94
1790,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,The Great Basin Institute,Fire Preparedness Vegetation Management,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,The purpose of this project is to improve fire management decision making at Joshua Tree National Park. This project will support a fire preparedness vegetation specialist who will provide data and decision support to managers that will be used in critical emergency situations. This will improve fire response times and decrease costs associated with fire suppression.,"If this work is not completed, the park will be unable to fight wildfire. Fires will be larger and fire suppression will be more expensive. Visitors will see fewer Joshua trees in Joshua Tree National Park.","05/19/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1790 titled 'Fire Preparedness Vegetation Management,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",40906.82
2146,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,The Great Basin Institute,Proactive Plant Materials at Joshua Tree National Park,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project at Joshua Tree National Park will support two early-career technicians for 78 weeks. They will help restore areas damaged by wildfire by collecting and planting native seeds, growing plants in a nursery, installing plant protection, reducing invasive plants, and repairing damage from foot and vehicle traffic. The team will map and monitor restoration sites and guide volunteers who assist with the work. The project provides hands-on training for at least four young workers while improving the recovery of native habitats.","Without funding, burned habitats in Joshua Tree National Park will recover slowly, allowing invasive plants to spread and reducing native plant survival. The park would lose critical support for restoration work, delaying habitat recovery and limiting opportunities for youth to gain conservation experience.","05/27/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2146 titled 'Proactive Plant Materials at Joshua Tree National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",218844.51
2147,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,THE GREAT BASIN INSTITUTE,Vegetation Management at Joshua Tree National Park,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project at Joshua Tree National Park will place at least two early-career vegetation technicians in year-long positions to help restore burned habitats and protect native plants. Technicians will collect and plant native seeds, grow plants in a nursery, repair damaged areas, and remove invasive species. They will also monitor plant health, map treatments, guide volunteers, and support habitat recovery. The project provides hands-on professional experience for at least four youth while improving the park’s ecological resilience and restoring native plant communities.","Without funding, burned areas in Joshua Tree National Park will recover more slowly, invasive plants will spread, and native species may decline. The park will lose essential restoration support, and youth will miss valuable professional training opportunities that help sustain long-term habitat health.","06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2147 titled 'Vegetation Management at Joshua Tree National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",116713.93
2163,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,The Great Basin Institute,Burned Area Rehabilitation and Restoration at Joshua Tree National Park,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project at Joshua Tree National Park will train at least two early-career vegetation technicians to help restore habitats damaged by fire. Participants will collect native seeds, grow plants in a nursery, and plant them in burned areas. They will protect young plants from animals, remove invasive species, monitor vegetation recovery, map project sites, and lead volunteers. The project provides hands-on experience while improving habitat quality, supporting native plant recovery, and reducing long-term damage from past fires.","Without funding, burned areas at Joshua Tree National Park will recover slowly, allowing invasive species to spread and reducing habitat quality for wildlife. The park will lose critical support for restoration work and fewer young professionals will gain needed conservation skills.","05/27/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2163 titled 'Burned Area Rehabilitation and Restoration at Joshua Tree National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",222806.01
2186,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,Great Basin Institute,Joshua Tree National Park Historic Preservation Support,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"Historic Preservation Technicians and Specialists will assist the Park with documentation and preservation treatments, and the repair and stabilization of historic resources. This will include complete documentation of historic buildings, structures, features, and objects to DOI standards. They will also assist the Park in completing Section 106 compliance mitigation stipulations, implement treatments and repairs to historic structures to prevent loss of buildings and ensure safety. This project will assess and address pest and insect infestation and damage to six buildings that are part of Keys Ranch. Tasks include cleaning up the nests and removal of pests (removal reduces risk for hanta virus), repair of structures from damage and installation of barriers or other methods to prevent and reduce damage from pests (primarily rodents).","If the project is not awarded, the Park will not be able to complete deferred maintenance to significant interpreted historic structures and buildings. The park will be out of compliance with the National Historic Preservation Act.","06/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2186 titled ' Joshua Tree National Park Historic Preservation Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",67680.00
2293,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,The Great Basin Institute,"Geospatial Technical Support for Fire, Law Enforcement, Visitor Safety and Park Operations at Joshua Tree National Park",15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project at Joshua Tree National Park will hire two early-career technicians to enhance Geographic Information System (GIS) support at Joshua Tree National Park, focusing on fire, cultural, natural resource, and endangered species management. Great Basin Institute technicians' tasks will include creating project documents for compliance, managing GIS data for fire response and burned area rehab, providing staff training, and developing new databases. These efforts will help ensure the effective enhance emergency response capabilities, visitor safety, preservation of park resources, improved trail management, benefiting park staff and the visiting public through improved resource management processes.","Without funding, Joshua Tree National Park will face outdated maps, reduced ability to respond to fires and emergencies, and slower planning for resource protection. Missing this support would limit the park’s ability to make informed decisions and maintain reliable spatial information used by staff and partners.","05/27/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2293 titled 'Geospatial Technical Support for Fire, Law Enforcement, Visitor Safety and Park Operations at Joshua Tree National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",141340.14
2321,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,Great Basin Institute,Archeological Technician Support for Section 106 Compliance at Joshua Tree National Park,15.946 Cultural Resources Management,Cultural resources management,2026-08-07,"Great Basin Institute Research Associates will support the archeology program at Joshua Tree National Park by assisting with park planning, project compliance, and resource management needs. This work will help the park meet regulatory requirements under the National Historic Preservation Act, the Organic Act, and the Archaeological Resources Protection Act for several upcoming projects, including trail and campground improvements, road maintenance, and three wildland fire recovery projects. Project tasks include reviewing existing documentation; conducting archeological surveys and monitoring; preparing written reports and Geographic Information System based documentation; and identifying any needed mitigation measures to protect cultural resources.","Without funding, the park will be out of compliance with the National Historic Preservation Act, Organic Act, and Archeological Resources Preservation Act. Reviews and mitigations to projects and fire recovery activities won't happen, increasing the chance of harm to sensitive cultural heritage resources and risking long-term damage.","06/16/2026: Revise project abstract to state specific tasks that recipient will perform and expected outcomes/deliverables. 06/17/2026: Revised project abstract slightly for clarity. NPS review complete. Ready for DOI review. 06/24/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2321 titled 'Archeological Technician Support for Section 106 Compliance at Joshua Tree National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",133118.73
2425,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,The Great Basin Institute,Youth Habitat Restoration Crew Project at Joshua Tree National Park,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"At Joshua Tree National Park, a youth conservation crew of four to five members and one crew leader will complete six two-week field sessions to restore burned and damaged habitats. The crew will collect and plant native seeds, grow plants in a nursery, control invasive species, survey rare plants, and monitor vegetation health. They will also map treatment areas, lead volunteers, and produce annual reports and plant materials for restoration. This project improves habitat recovery, strengthens native plant communities, and provides hands-on conservation training for participating youth and long-term benefits for park ecosystems and visitors.","Without funding, burned areas in Joshua Tree National Park will continue to degrade, invasive plants will spread, and essential habitat recovery will be delayed. The park will lose critical restoration capacity, and youth will miss valuable training and career development opportunities.","6/16/2026: NPS review complete. Ready for DOI review. 06/17/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2425 titled 'Youth Habitat Restoration Crew Project at Joshua Tree National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",107820.58
2479,Disapproved,PWR,Pacific West,JOTR,Joshua Tree National Park,park unit,Joshua Tree National Park,33.8993,-115.9533,THE GREAT BASIN INSTITUTE,Biological and Wildlife Compliance Support for Deferred Maintenance Projects at Joshua Tree National Park,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project at Joshua Tree National Park will hire two youth biological technicians to ensure that road and construction projects protect desert plants and wildlife. The technicians will work alongside construction crews to identify sensitive species, monitor work areas, and make sure crews follow required mitigation measures. They will also train park staff and contractors on avoiding impacts to natural and cultural resources. Deliverables include daily monitoring, activity reports, and documentation of species observed, resulting in safer project execution and improved protection of desert ecosystems.","Without funding, construction crews at Joshua Tree National Park may unintentionally harm sensitive species and habitats, delaying projects and risking long-term ecological damage. The park would lack trained monitors to guide safe construction practices, increasing costs and resource losses.","06/09/2026: NPS review complete. Ready for DOI review. 06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2479 titled 'Biological and Wildlife Compliance Support for Deferred Maintenance Projects at Joshua Tree National Park,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",83451.40
2199,Disapproved,PWR,Pacific West,JUBA,Juan Bautista de Anza National Historic Trail,"office, program, or network","Richmond, California",37.9368,-122.3428,Environmental Education Exchange,Education Program Development and Classroom Presentations,15.935 National Trail System Project,National Trails System,2026-08-07,"This project will bring the curriculum based Exploring the Anza Trail educational program to 190 4th/5th grade classrooms during the 2026-27 school year: 150 in southern Arizona and 40 in southeastern California. Recipient will build curriculum, manage outreach to teachers and school districts, develop and print educational materials, and place a trained presenter in the classrooms. Project is concurrent with the 2026-2027 school year and emphasizes Freedom 250.","If the project is not awarded, youth in AZ and CA will not be exposed to integral historical events that shaped helps shape the American Southwest. Students will miss the opportunity to connect their community's history to events that helped build the US 250 years ago.","5/28/2026: NPS review complete. Ready for DOI review. 06/03/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2199 titled 'Education Program Development and Classroom Presentations,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",84821.00
2864,Disapproved,PWR,Pacific West,JUBA,Juan Bautista de Anza National Historic Trail,"office, program, or network","Richmond, California",37.9368,-122.3428,National Experienced Workforce Solutions,"Experienced Services Progam Support for John Muir, Eugene O'Neill NHS, and Rosie the Riverter/WWII Home Front NHP",15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"This project supports enrollment of candidates at Juan Bautista de Anza National Historic Trail, John Muir NHS, Eugene O'Neill NHS, and Rosie the Riveter/WWII Home Front NHP through the Experienced Workforce Program with expertise in project management, archives/records management, and educational programming. Project adds funding and extends the period of performance of existing positions as well as add additional positions to bring in expertise and skills critical to park operations and public engagement including graphic design, museum management, historic preservation, public history, and a motor vehicle operator with a commercial use license required for public tours.","The NPS will not be able to preserve critical resources, at the affected parks. Public awareness, visitation and accessibility to the park and its resources will be diminished with the lack of the recipient enrollee position support.","7/1/2026: NPS review complete. Ready for DOI review. 7/8/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2864 titled 'Experienced Services Progam Support for John Muir, Eugene O'Neill NHS, and Rosie the Riverter/WWII Home Front NHP,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",45000.00
1772,Disapproved,PWR,Pacific West,KLMN,Klamath Inventory and Monitoring Network,"office, program, or network","Ashland, Oregon",42.1856,-122.6899,THE GREAT BASIN INSTITUTE,Vital Signs Monitoring in Klamath Network Parks,15.931 Youth and Veteran Organizations Conservation Projects,Youth and veteran conservation corps,2026-08-07,"This project engages youth to implement monitoring of natural resources in park units of northern California and southern Oregon. Youth crews will monitor and collect data on resources crucial to park management, including downed fire fuels, water quality, fish populations, and more. These are resources important to the park, either for wildfire knowledge, swimming, fishing, or enjoying the outdoors. This monitoring data is important for the parks to manage using Gold Standard Science.","Without funding, data on park resources (both current status and trends) will be unavailable on key identified resources (fuels, plants, invasive species, water quality, fish populations, etc.). This will prohibit the park from managing the resources under the Restoring Gold Standard Science executive order.","05/07/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 1772 titled 'Vital Signs Monitoring in Klamath Network Parks,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",96623.72
2250,Disapproved,PWR,Pacific West,KLMN,Klamath Inventory and Monitoring Network,"office, program, or network","Ashland, Oregon",42.1856,-122.6899,National Experienced Workforce Solutions,Inventory and Monitoring Program Experienced Services Program Support,15.011 Experienced Services Program,Experienced Services Program,2026-08-07,"The recipient will provide enrollees under the Experienced Services Program to support several Inventory and Monitoring Networks in the Pacific West Region by providing experienced enrollees in project management, field support, data management, technical editing, and data science. These efforts increase governmental efficiency, data transparency, public access to data and results of the status of park natural resources. This project supports efforts to ensure NPS uses Gold Standard Science when managing natural resources through improved data.","If not awarded, programs for natural resource management will be less efficient, data produced will not be properly quality controlled and archived, equipment at monitoring stations will not be maintained and deteriorate. Additionally, turning collected data into management actions will slow, and attempts to monitor wildlife disease will be impaired.","06/09/2026: Abstract edited; ready for DOI review. 06/10/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2250 titled 'Inventory and Monitoring Program Experienced Services Program Support,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",158296.00
2071,Disapproved,PWR,Pacific West,LAKE,Lake Mead National Recreation Area,park unit,Lake Mead National Recreation Area,36.2446,-114.3805,Desert Research Institute,"Mapping, Cultural Surveying, and Planning Support for Overton Arm and Government Wash",15.945 Cooperative Research and Training Programs (CESU),Research and training (CESU),2026-08-07,"The Recipient will work closely with Lake Mead National Recreation Area (Park) to support the Park’s effort for recreational planning in two key areas being significantly impacted by low water: Overton Arm and Government Wash. The Recipient will survey and map unapproved roads and nearby potential buried cultural resources to determine the extent of those resources, their proximity to and possible damage from unapproved roads, and to identify potential areas where new approved roads and/or new recreational opportunities can be developed in the vicinity without damage to significant cultural resources. The Recipient will also work closely with the Park to provide expertise for National Environmental Policy Act (NEPA) and National Historic Preservation Act (NHPA) laws and recreational planning associated with developing site-specific management strategies for the defined project areas.",The park will be unable to identify potential locations where new approved roads and/or new recreational opportunities can be developed without damage to significant cultural resources in the project area(s).,"05/18/2026: Abstract edited; ready for DOI review. 05/19/2026: Submitted for DOI review. 08/07/2026: Disapproved by DOI. Your financial assistance request, FAST # 2071 titled 'Mapping, Cultural Surveying, and Planning Support for Overton Arm and Government Wash,' has been reviewed by NPS and DOI leadership. Any questions regarding this determination should be addressed through your associated Regional Director or Associate Director.",3489627.00
